area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,11,11,0.0,0.0,JEFFERSON PARK,0.0,64868161.6818,44011.9571704,12768.538567849017,-25460703.426764067,-9802.417057849709,19982123.59157978,21973.00452252399,-44031275.17084707,24147.09219524793,-48375812.02667323
0.0,12,12,0.0,0.0,FOREST GLEN,0.0,89130893.6364,74493.821604,10184.758355559712,-20092873.070092168,3257.199385848833,-6348922.440096649,1628.0423661387613,-2792642.8929586196,60701.514100920154,-122135807.82709706
0.0,13,13,0.0,0.0,NORTH PARK,0.0,70288706.4343,41581.9486539,-1501.2709704046847,3397305.168659735,9309.213405251729,-18585494.16210556,28462.55156276856,-57075614.08173101,8074.690355334398,-15798521.737937294
0.0,14,14,0.0,0.0,ALBANY PARK,0.0,53542230.8191,39339.0164387,17622.156119971183,-35245502.30709098,5658.017158736551,-11214198.320418831,35584.62236915692,-71422033.06811348,-8579.634803649997,17792157.48501966
0.0,15,15,0.0,0.0,PORTAGE PARK,0.0,110196097.139,46520.6421377,7706.322982629519,-15209929.651755217,8132.934684397263,-16258864.050616343,22527.457126888134,-45135755.0549202,31003.903557199897,-62194658.92748267
0.0,16,16,0.0,0.0,IRVING PARK,0.0,89611382.3106,49083.2240938,11212.764948323424,-22233529.726789992,37121.39998678492,-74761290.02297318,35729.53872574063,-71608739.11401136,22382.535346560384,-44725966.67444311
0.0,17,17,0.0,0.0,DUNNING,0.0,103595001.175,54555.9925337,27860.863186339557,-55987809.67030426,18023.749485518405,-36211938.8403374,22930.64490412189,-46017479.265593745,35660.786171050335,-71636992.72367387
0.0,18,18,0.0,0.0,MONTCLARE,0.0,27576393.6325,22404.8521448,16979.0384282014,-34011284.899452314,25952.601318889527,-52232092.381218925,9277.680335621057,-18442822.229964484,39970.749482642015,-80384369.4857757
0.0,19,19,0.0,0.0,BELMONT CRAGIN,0.0,109099414.689,43311.707379,7258.61078269561,-14360445.656430975,11469.71033702599,-23013826.058647946,19724.35389710414,-39559607.18505656,19039.91283796552,-38118450.446477
0.0,2,2,0.0,0.0,WEST RIDGE,0.0,98429094.8621,43020.6894583,21536.306235223205,-43221357.56274544,6355.378612063682,-12682045.234957851,44380.079898854456,-89244380.33419545,15490.50534543034,-30790272.733553402
0.0,20,20,0.0,0.0,HERMOSA,0.0,32602059.4055,27179.0174378,29485.923877999187,-59247994.85655172,10315.27472175724,-20662480.925435185,47162.900535444045,-94969174.07979766,-1648.9206234179785,3689031.949050227
0.0,21,21,0.0,0.0,AVONDALE,0.0,55290595.473,34261.9334038,17798.427423362748,-35499718.3425451,5560.586875565703,-10912111.31512723,54526.36145262375,-109593084.73157668,-13050.53699312403,26873530.84899461
0.0,22,22,0.0,0.0,LOGAN SQUARE,0.0,100057566.7,49213.4217488,20186.22253058814,-40281518.14133815,10530.684224868803,-20904744.977836408,93636.46496229093,-188404523.68438944,33422.222848797086,-66910225.02676346
0.0,23,23,0.0,0.0,HUMBOLDT PARK,0.0,100480876.502,48583.0643299,27146.50732217816,-54539346.27959448,16290.264714681356,-32687904.50552551,10164.924489881772,-20216462.339109264,36954.82054685416,-74336454.53553003
0.0,24,24,0.0,0.0,WEST TOWN,0.0,127562904.597,55203.7186956,-5045.1390543463,10746588.630037986,26695.704651851636,-53462050.99049727,4142.679246748373,-7389988.458318654,-146.6344302442772,1042823.3334970173
0.0,25,25,0.0,0.0,AUSTIN,0.0,199254203.427,75226.4749167,27864.480923422445,-56048494.4947442,8190.649902488848,-16411521.418165704,31589.676985624963,-63584521.20782301,31625.08541903019,-63622888.004364885
0.0,26,26,0.0,0.0,WEST GARFIELD PARK,0.0,36092848.8151,26238.5419796,65611.39091717517,-132329891.56879179,-8797.429363405083,17859710.47628213,44263.28259667836,-89281161.89686567,78934.49186643564,-159244867.27176026
0.0,27,27,0.0,0.0,EAST GARFIELD PARK,0.0,53883220.8462,31514.6259565,38174.53057082638,-76895053.55246435,11089.20161094837,-22245992.064816836,15791.260796207156,-31676887.858946804,53132.00889959131,-107072289.4506666
0.0,28,28,0.0,0.0,NEAR WEST SIDE,0.0,158492466.554,53003.5929406,-14586.75836282975,29948516.56181042,-13042.694677300356,26829156.81109716,-131433.41603875268,266068331.94796187,73860.96670938712,-148641024.64094904
0.0,29,29,0.0,0.0,NORTH LAWNDALE,0.0,89487422.0242,44959.4596627,23888.273108290825,-48065007.79099378,45715.72664316607,-92215963.98950905,24039.346049327087,-48407231.29776036,23282.390024767177,-46825399.81249998
0.0,3,3,0.0,0.0,UPTOWN,0.0,65095642.7289,46972.7945549,30227.76095362918,-60763339.44059132,21067.252186127917,-42280920.483183116,-5506.496396631485,12052464.073829569,87135.7745116478,-175267004.26625207
0.0,30,30,0.0,0.0,SOUTH LAWNDALE,0.0,127998297.867,49904.0452102,22620.66857062193,-45486874.82572135,0.0,0.0,20164.571423831898,-40573976.87876924,31558.31056706595,-63521820.6236838
0.0,31,31,0.0,0.0,LOWER WEST SIDE,0.0,81550723.6377,43229.3727036,12206.355123340758,-24214354.418620147,46183.71029703921,-92927364.12513423,3950.5708080893924,-7590205.601296839,18021.212432229357,-35922248.64215849
0.0,33,33,0.0,0.0,NEAR SOUTH SIDE,0.0,49769639.4541,45053.1651038,-5954.203488592114,12452970.877499864,8761.53892132183,-17300243.82539027,-13172.741903419143,27748572.404719695,0.0,0.0
0.0,34,34,0.0,0.0,ARMOUR SQUARE,0.0,27766196.0954,31948.5988398,22898.01409183988,-45891732.191392995,18570.130737266485,-37238558.60701417,133863.6063145732,-269990620.47482324,-95436.18695016886,193277638.6377214
0.0,10,10,0.0,0.0,NORWOOD PARK,0.0,121959105.47,80368.3743778,11319.917504598629,-22510367.28108518,191.59926305575343,-234055.3813001489,10077.506252792768,-19983032.102678504,28669.049197893084,-57455368.08285564
0.0,8,8,0.0,0.0,NEAR NORTH SIDE,0.0,76675895.9728,57293.1649516,-17227.66435871519,35260610.8136885,-21554.717056931226,43998116.59498364,178667.9836410732,-359201925.4692167,25317.843743327787,-49681307.873480156
0.0,32,32,0.0,0.0,LOOP,0.0,46335565.4586,39428.6729962,-32831.94041958149,66696287.026590146,-34861.03099354,70815420.62024544,0.0,0.0,0.0,0.0
0.0,43,43,0.0,0.0,SOUTH SHORE,0.0,81812716.3958,44249.6461173,28260.972059886742,-56871611.38955376,1420.7599516328125,-2784194.7676473362,48031.67612998346,-96819115.00026953,35891.28615142315,-72266270.80846551
0.0,44,44,0.0,0.0,CHATHAM,0.0,82320670.3112,42006.9450094,23330.200557335505,-46937475.91257822,-2944.572491880167,5987877.429067304,18254.423390870437,-36702419.71716733,30797.092070413102,-61990949.13697846
0.0,45,45,0.0,0.0,AVALON PARK,0.0,34852737.7366,27630.822534,7320.437689596873,-14610409.497251052,0.0,0.0,17511.42137289313,-35196422.69462349,-68911.23356650856,139407184.64312467
0.0,46,46,0.0,0.0,SOUTH CHICAGO,0.0,93272185.0092,52435.9794313,24481.56407553114,-49304189.060605384,29548.827545271666,-59618387.06123483,33181.930714337745,-66885636.51159634,27902.084348204313,-56214859.90409934
0.0,47,47,0.0,0.0,BURNSIDE,0.0,16995983.2737,18137.9442529,756.6561060471612,-1392011.5433121698,0.0,0.0,-5657.144713211777,11568893.320682377,46328.305863778085,-93466822.08719502
0.0,59,59,0.0,0.0,MCKINLEY PARK,0.0,39431799.6479,26014.0968371,27464.486013817546,-55161178.03469537,48280.17831056799,-97325071.9171657,24984.09620420981,-50141288.76646072,36263.88275305595,-72929878.99436845
0.0,6,6,0.0,0.0,LAKE VIEW,0.0,87214799.2728,51973.0968677,-4184.815474714184,8907036.320509704,46457.680173070454,-93476254.59816583,-9010.966321075703,19633558.763598986,-83655.75858963584,169868785.1536649
