SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
,Single Family Residential,8209 S Muskegon Ave,Chicago,IL,60617.0,255000.0,4.0,3.0,1800.0,5000.0,1925.0,177.0,142.0,,41.746112,-87.5549513
,Multi-Family (2-4 Unit),1251 W 101st Pl,Chicago,IL,60643.0,79900.0,6.0,2.0,,3049.0,1864.0,178.0,,,41.7088244,-87.6546318
,Multi-Family (2-4 Unit),523 W 65th Pl,Chicago,IL,60621.0,598000.0,8.0,4.0,,,1905.0,178.0,,,41.7751202,-87.6377778
,Condo/Co-op,505 N Mcclurg Ct #1303,Chicago,IL,60611.0,979900.0,3.0,2.5,1803.0,,2008.0,178.0,543.0,1309.0,41.8915247,-87.6173266
,Condo/Co-op,39 N Morgan St #2,Chicago,IL,60607.0,649000.0,3.0,2.0,1600.0,,2007.0,178.0,406.0,388.0,41.8828413,-87.6519271
,Condo/Co-op,401 N Wabash Ave Unit 67C,Chicago,IL,60611.0,545000.0,1.0,1.5,938.0,,2008.0,179.0,581.0,991.0,41.8888012,-87.6263094
,Multi-Family (2-4 Unit),8440 S Green Bay Ave,Chicago,IL,60617.0,109000.0,9.0,5.0,,3125.0,1882.0,179.0,,,41.741817,-87.542035
,Condo/Co-op,1035 N Dearborn St Unit 7E,Chicago,IL,60610.0,789000.0,2.0,2.0,2000.0,,2005.0,179.0,395.0,1633.0,41.9016563,-87.6294752
,Single Family Residential,9100 S Emerald Ave,Chicago,IL,60620.0,144999.0,3.0,1.5,1122.0,4356.0,1963.0,179.0,129.0,,41.728641,-87.642547
,Condo/Co-op,1550 S Blue Island Ave #703,Chicago,IL,60608.0,235000.0,2.0,2.0,1231.0,,1927.0,179.0,191.0,710.0,41.8606011,-87.6597314
,Multi-Family (2-4 Unit),46 W 108th Pl,Chicago,IL,60628.0,65000.0,8.0,2.0,,3920.0,1905.0,179.0,,,41.6973212,-87.6250202
,Condo/Co-op,21 E Huron St #3801,Chicago,IL,60611.0,475000.0,1.0,1.5,1004.0,,2004.0,179.0,473.0,921.0,41.8945104,-87.6271139
,Multi-Family (5+ Unit),4954-56 W Augusta Blvd,Chicago,IL,60651.0,924900.0,20.0,10.0,,6250.0,1909.0,179.0,,,41.8988761,-87.7506089
,Multi-Family (2-4 Unit),1527 N Claremont Ave,Chicago,IL,60622.0,1515000.0,10.0,4.0,,3049.0,1890.0,179.0,,,41.9093614,-87.6857195
,Condo/Co-op,1819 W Touhy Ave #2,Chicago,IL,60626.0,195000.0,2.0,2.0,1200.0,,1960.0,179.0,163.0,411.0,42.0121293,-87.6766139
,Single Family Residential,8718 S Union Ave,Chicago,IL,60620.0,115000.0,2.0,2.0,720.0,3125.0,1910.0,180.0,160.0,,41.7352654,-87.6414687
,Multi-Family (2-4 Unit),2906 W Adams St,Chicago,IL,60612.0,449000.0,6.0,2.0,,2613.0,,180.0,,,41.87853,-87.6990873
,Parking,21 W Chestnut St #64,Chicago,IL,60610.0,25000.0,,,,136.0,1999.0,180.0,,100.0,41.8977685,-87.6288575
,Single Family Residential,10623 S Church St,Chicago,IL,60643.0,349000.0,3.0,2.0,2282.0,10628.0,1926.0,180.0,153.0,,41.7005614,-87.6598792
,Multi-Family (5+ Unit),5414 W Wellington Ave,Chicago,IL,60641.0,779000.0,8.0,6.0,,3780.0,1929.0,180.0,,,41.9350983,-87.7623291
,Vacant Land,312 N Lotus Ave,Chicago,IL,60644.0,70000.0,,,,8276.0,,180.0,,,41.886192,-87.762197
,Multi-Family (2-4 Unit),4234 N Mcvicker Ave,Chicago,IL,60634.0,625500.0,5.0,3.0,,3750.0,,180.0,,,41.9577127,-87.7784278
,Condo/Co-op,1201 S Prairie Ave #3301,Chicago,IL,60605.0,1295000.0,3.0,3.0,3000.0,,2008.0,180.0,432.0,2060.0,41.866948,-87.621969
,Condo/Co-op,1440 N State Pkwy Unit 17A,Chicago,IL,60610.0,645000.0,2.0,2.0,1700.0,,1975.0,180.0,379.0,1695.0,41.9089842,-87.6293667
