SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
,Condo/Co-op,7303 N Wolcott Ave #2,Chicago,IL,60626.0,219900.0,2.0,2.0,1100.0,,1926.0,4.0,200.0,293.0,42.013916,-87.677982
,Single Family Residential,6330 W Patterson Ave,Chicago,IL,60634.0,375000.0,3.0,2.0,1125.0,6534.0,1927.0,4.0,333.0,,41.9468098,-87.7851437
,Condo/Co-op,921 N Damen Ave #4,Chicago,IL,60622.0,510000.0,2.0,2.0,1600.0,,2003.0,4.0,319.0,238.0,41.8984241,-87.6768622
,Condo/Co-op,520 S State St #702,Chicago,IL,60605.0,355000.0,2.0,2.0,,,2003.0,4.0,,735.0,41.8751143,-87.6280087
,Multi-Family (2-4 Unit),5234 S Carpenter St,Chicago,IL,60609.0,95000.0,6.0,2.0,,3049.0,,4.0,,,41.7982513,-87.6516581
,Condo/Co-op,159 E Walton St Unit 33A,Chicago,IL,60611.0,4800000.0,3.0,4.5,5200.0,,1929.0,4.0,923.0,5932.0,41.8997872,-87.6234987
,Single Family Residential,4245 N Mason Ave,Chicago,IL,60634.0,549900.0,5.0,3.0,1974.0,3750.0,1921.0,4.0,279.0,,41.9580814,-87.7754685
,Multi-Family (2-4 Unit),1632 N Tripp Ave,Chicago,IL,60639.0,410000.0,7.0,3.0,,3125.0,1896.0,4.0,,,41.9108575,-87.7327259
,Single Family Residential,6348 S Seeley Ave,Chicago,IL,60636.0,199500.0,4.0,2.0,1500.0,3125.0,,4.0,133.0,,41.7778468,-87.675358
,Single Family Residential,3220 N Newcastle Ave,Chicago,IL,60634.0,450000.0,4.0,2.0,1962.0,4338.0,1943.0,4.0,229.0,,41.9388238,-87.7972568
,Condo/Co-op,1530 S State St #1011,Chicago,IL,60605.0,699900.0,3.0,2.0,2000.0,,2005.0,4.0,350.0,1262.0,41.8612054,-87.6284311
,Condo/Co-op,1600 W Chase Ave Unit 3B,Chicago,IL,60626.0,174900.0,2.0,1.0,,,1967.0,4.0,,241.0,42.0141472,-87.670568
,Single Family Residential,8907 S Luella Ave,Chicago,IL,60617.0,154700.0,3.0,4.5,1158.0,,1949.0,4.0,134.0,,41.7331884,-87.5692751
,Vacant Land,4715 N Springfield Ave,Chicago,IL,60625.0,210000.0,,,,3125.0,,4.0,,,41.966934,-87.7252847
,Condo/Co-op,777 N Michigan Ave #2607,Chicago,IL,60611.0,198000.0,0.0,1.0,600.0,,1965.0,4.0,330.0,519.0,41.89639,-87.62382
,Condo/Co-op,1647 W Addison St Unit 3B,Chicago,IL,60613.0,330000.0,2.0,1.0,,,2006.0,4.0,,258.0,41.9466898,-87.6708294
,Multi-Family (2-4 Unit),520 N Central Ave,Chicago,IL,60644.0,350000.0,11.0,6.0,,5200.0,1890.0,4.0,,,41.8899561,-87.7654769
,Condo/Co-op,2031 W Belmont Ave #2,Chicago,IL,60618.0,845000.0,3.0,2.5,,,2023.0,4.0,,,41.9393,-87.679693
,Condo/Co-op,2322 W Augusta Blvd Unit 2A,Chicago,IL,60622.0,372500.0,2.0,2.0,,,1913.0,4.0,,149.0,41.8996443,-87.6854576
,Condo/Co-op,200 E Delaware Pl Unit 29B,Chicago,IL,60611.0,520000.0,1.0,1.0,1125.0,,1974.0,4.0,462.0,1001.0,41.8995075,-87.6211813
,Condo/Co-op,2031 W Belmont Ave Unit 3S,Chicago,IL,60618.0,959900.0,3.0,2.5,,,2023.0,4.0,,,41.9393,-87.679693
,Condo/Co-op,2057 W Fargo Ave #1,Chicago,IL,60645.0,340000.0,3.0,3.0,,,1928.0,4.0,,374.0,42.016342,-87.6827115
,Single Family Residential,6128 N Naper Ave,Chicago,IL,60631.0,675000.0,4.0,3.0,3011.0,4725.0,1944.0,4.0,224.0,,41.9927046,-87.7900512
,Single Family Residential,1201 N Marion Ave,Oak Park,IL,60302.0,399000.0,2.0,1.5,1614.0,8016.0,1951.0,4.0,247.0,,41.907208,-87.804635
,Multi-Family (2-4 Unit),6234 S Indiana Ave,Chicago,IL,60637.0,424900.0,8.0,3.0,,,1916.0,4.0,,,41.7809243,-87.6208485
,Single Family Residential,5622 W Berenice Ave,Chicago,IL,60634.0,349900.0,3.0,3.0,1380.0,3859.0,1913.0,4.0,254.0,,41.9506195,-87.7678566
,Condo/Co-op,3016 W Belmont Ave Unit 1N,Chicago,IL,60618.0,575000.0,4.0,2.5,2700.0,,2019.0,4.0,213.0,275.0,41.9394784,-87.7036186
,Single Family Residential,4716 W Hutchinson St,Chicago,IL,60641.0,489900.0,4.0,2.0,1780.0,,1893.0,4.0,275.0,,41.9582238,-87.7465008
,Single Family Residential,8738 S Fairfield Ave,Evergreen Park,IL,60805.0,335000.0,4.0,2.5,1516.0,,1961.0,4.0,221.0,,41.7340808,-87.6914323
,Condo/Co-op,5413 N Milwaukee Ave Unit 1B,Chicago,IL,60630.0,200000.0,2.0,2.0,800.0,,1996.0,4.0,250.0,250.0,41.9799627,-87.7712453
,Single Family Residential,229 W Eugenie St,Chicago,IL,60614.0,6840000.0,4.0,4.5,7528.0,5000.0,1874.0,4.0,909.0,,41.9127005,-87.6360089
,Multi-Family (2-4 Unit),1640 N Meade Ave,Chicago,IL,60639.0,414900.0,4.0,2.0,,3919.0,1922.0,4.0,,,41.9105035,-87.7780043
,Condo/Co-op,1110 W 15th St #328,Chicago,IL,60608.0,329000.0,2.0,2.0,,,1920.0,4.0,,554.0,41.861894,-87.655479
,Single Family Residential,2047 N Bissell St,Chicago,IL,60614.0,3475000.0,6.0,5.5,5200.0,3100.0,2015.0,4.0,668.0,,41.9194866,-87.6519376
,Multi-Family (2-4 Unit),2235 N Kimball Ave,Chicago,IL,60647.0,1199900.0,10.0,5.0,,7405.0,1915.0,4.0,,,41.9221432,-87.7117344
,Single Family Residential,5140 N Mango Ave,Chicago,IL,60630.0,669000.0,5.0,3.5,2028.0,2286.0,1948.0,4.0,330.0,,41.9750628,-87.7725377
,Single Family Residential,4845 N Mcvicker Ave,Chicago,IL,60630.0,229900.0,3.0,3.5,1000.0,3750.0,1927.0,4.0,230.0,,41.9698364,-87.7793193
,Condo/Co-op,3608 W Dickens Ave #3,Chicago,IL,60647.0,214900.0,2.0,1.0,,,1927.0,4.0,,411.0,41.9192637,-87.7171867
,Single Family Residential,9936 S Lowe Ave,Chicago,IL,60628.0,287900.0,4.0,3.0,2265.0,3125.0,,4.0,127.0,,41.7131179,-87.639627
,Multi-Family (2-4 Unit),9220 S Loomis St,Chicago,IL,60620.0,349926.0,5.0,3.0,,6250.0,,4.0,,,41.7260782,-87.6582093
,Single Family Residential,7758 W Balmoral Ave,Chicago,IL,60656.0,519500.0,4.0,2.0,2148.0,4920.0,1956.0,4.0,242.0,,41.9780368,-87.8216048
,Condo/Co-op,500 W Superior St #908,Chicago,IL,60654.0,347747.0,2.0,1.5,912.0,,1974.0,4.0,381.0,912.0,41.895951,-87.642196
,Single Family Residential,611 N Long Ave,Chicago,IL,60644.0,319900.0,4.0,1.5,2400.0,3349.0,1900.0,4.0,133.0,,41.8915536,-87.7602672
,Single Family Residential,5536 W Grace St,Chicago,IL,60641.0,290000.0,2.0,1.0,1100.0,4059.0,1923.0,4.0,264.0,,41.9497866,-87.7659936
,Single Family Residential,28 S Throop Pkwy,Chicago,IL,60607.0,1149000.0,4.0,3.5,2900.0,,2004.0,4.0,396.0,278.0,41.8808218,-87.6600388
,Single Family Residential,6417 S Drexel Ave,Chicago,IL,60637.0,779500.0,5.0,3.5,3600.0,3125.0,2023.0,4.0,217.0,,41.778067,-87.602475
,Multi-Family (2-4 Unit),3415 N Bosworth Ave,Chicago,IL,60657.0,1695000.0,10.0,7.0,,3690.0,2019.0,4.0,,,41.9438397,-87.667275
,Single Family Residential,1845 W Wellington Ave,Chicago,IL,60657.0,1850000.0,6.0,5.0,,3049.0,2023.0,4.0,,,41.9357744,-87.6753149
,Condo/Co-op,4445 N Magnolia Ave #3,Chicago,IL,60640.0,439900.0,3.0,2.0,1600.0,,1913.0,4.0,275.0,338.0,41.9630638,-87.6606967
,Condo/Co-op,4653 N Magnolia Ave Unit 4N,Chicago,IL,60640.0,435000.0,2.0,2.0,,,1997.0,4.0,,297.0,41.9669961,-87.6607525
,Single Family Residential,8055 S Avalon Ave,Chicago,IL,60619.0,353000.0,4.0,3.5,2850.0,3724.0,1890.0,4.0,124.0,,41.7479611,-87.593968
,Condo/Co-op,180 E Pearson St #3901,Chicago,IL,60611.0,1197747.0,3.0,3.5,2754.0,,1975.0,4.0,435.0,1897.0,41.8976934,-87.6223109
,Vacant Land,1410 N Elk Grove Ave,Chicago,IL,60622.0,2399000.0,,,,,,4.0,,,41.9084228,-87.6733118
,Condo/Co-op,1111 S Wabash Ave #2403,Chicago,IL,60605.0,439900.0,3.0,2.0,1400.0,,2005.0,5.0,314.0,891.0,41.8687405,-87.6253626
,Condo/Co-op,41 E 8th St #1506,Chicago,IL,60605.0,379900.0,2.0,2.0,1200.0,,2004.0,5.0,317.0,617.0,41.8717102,-87.6263215
,Single Family Residential,10221 S Union Ave,Chicago,IL,60628.0,255000.0,4.0,1.5,973.0,3123.0,1983.0,5.0,262.0,,41.7080524,-87.6401779
,Condo/Co-op,1915 N Fairfield Ave #2,Chicago,IL,60647.0,379900.0,2.0,2.0,1157.0,,,5.0,328.0,157.0,41.9161952,-87.6956779
,Condo/Co-op,3123 N Nashville Ave Unit 3W,Chicago,IL,60634.0,134900.0,1.0,1.0,852.0,,1976.0,5.0,158.0,251.0,41.937256,-87.7904716
,Multi-Family (5+ Unit),7919 S Essex Ave,Chicago,IL,60617.0,225000.0,20.0,8.0,,5568.0,1900.0,5.0,,,41.7511297,-87.5635124
,Single Family Residential,8216 S Sawyer Ave,Chicago,IL,60652.0,329000.0,3.0,2.5,1630.0,4356.0,1948.0,5.0,202.0,,41.7437599,-87.7037993
,Multi-Family (2-4 Unit),2551 W Pope John Paul II Dr,Chicago,IL,60632.0,399900.0,6.0,3.0,,2860.0,1923.0,5.0,,,41.8154307,-87.6890667
,Vacant Land,1258 E 79th St,Chicago,IL,60619.0,35000.0,,,,10106.0,,5.0,,,41.751631,-87.593416
,Single Family Residential,7115 S Rockwell St,Chicago,IL,60629.0,115000.0,4.0,2.5,1280.0,3781.0,1915.0,5.0,90.0,,41.7641049,-87.6878702
,Vacant Land,4749 - 4751 S Laflin St,Chicago,IL,60609.0,10000.0,,,,5925.0,,5.0,,,41.8071633,-87.6622552
,Single Family Residential,10813 S Komensky Ave,Oak Lawn,IL,60453.0,254900.0,4.0,1.0,1006.0,6873.0,1954.0,5.0,253.0,,41.6962759,-87.7214416
,Condo/Co-op,3844 N Damen Ave #3,Chicago,IL,60618.0,799000.0,3.0,2.0,,,2018.0,5.0,,250.0,41.9518919,-87.6789439
,Single Family Residential,7034 S Wallace St,Chicago,IL,60621.0,42000.0,3.0,1.0,1080.0,,1885.0,5.0,39.0,,41.7660131,-87.6398101
,Single Family Residential,9219 S Halsted St,Chicago,IL,60620.0,150000.0,4.0,1.5,1175.0,,1967.0,5.0,128.0,,41.7263416,-87.6429958
,Single Family Residential,539 E 42nd Pl,Chicago,IL,60653.0,725000.0,5.0,3.5,3000.0,3125.0,2022.0,5.0,242.0,,41.8173934,-87.6122095
,Single Family Residential,2822 W 39th Pl,Chicago,IL,60632.0,248000.0,3.0,1.0,928.0,2856.0,1925.0,5.0,267.0,,41.822083,-87.6956181
,Condo/Co-op,3963 W Belmont Ave #413,Chicago,IL,60618.0,385000.0,2.0,2.0,1200.0,,2007.0,5.0,321.0,550.0,41.9388685,-87.7265348
,Single Family Residential,2019 W 86th St,Chicago,IL,60620.0,109000.0,2.0,1.0,938.0,,1944.0,5.0,116.0,,41.737368,-87.673637
,Condo/Co-op,860 N California Ave Unit 2N,Chicago,IL,60622.0,475000.0,3.0,2.0,1700.0,,2007.0,5.0,279.0,275.0,41.8974457,-87.6970489
,Condo/Co-op,5749 S Kenwood Ave #3,Chicago,IL,60637.0,399900.0,2.0,2.0,,,,5.0,,670.0,41.7899212,-87.5927723
,Townhouse,428 W Wellington Ave Unit A,Chicago,IL,60657.0,659950.0,3.0,3.0,1980.0,,1955.0,5.0,333.0,100.0,41.9367609,-87.6405882
,Condo/Co-op,831 N Hermitage Ave #2,Chicago,IL,60622.0,480000.0,2.0,2.0,1250.0,,2001.0,5.0,384.0,125.0,41.8969321,-87.6706521
,Condo/Co-op,4217 W 76th St #101,Chicago,IL,60652.0,169000.0,2.0,2.0,1100.0,,2001.0,5.0,154.0,290.0,41.7540312,-87.7282947
,Single Family Residential,10549 S State St,Chicago,IL,60628.0,48000.0,4.0,1.5,1250.0,,1915.0,5.0,38.0,,41.7020371,-87.623087
,Condo/Co-op,3116 W Cullom Ave #2,Chicago,IL,60618.0,320000.0,2.0,2.0,1150.0,,,5.0,278.0,213.0,41.9596564,-87.7065849
,Single Family Residential,4816 W Ferdinand St,Chicago,IL,60644.0,200000.0,3.0,1.0,840.0,3123.0,1891.0,5.0,238.0,,41.8897611,-87.7464033
,Single Family Residential,2954 W Columbus Ave,Chicago,IL,60652.0,299700.0,3.0,2.0,1040.0,3123.0,1960.0,5.0,288.0,,41.7531388,-87.6971497
,Condo/Co-op,5455 N Sheridan Rd #1609,Chicago,IL,60640.0,125000.0,0.0,1.0,,,1969.0,5.0,,442.0,41.9816886,-87.6547103
,Single Family Residential,3625 N Mozart St,Chicago,IL,60618.0,1100000.0,5.0,4.0,,3750.0,1929.0,5.0,,,41.9474421,-87.6990016
,Vacant Land,7028-7030 S Vernon Ave,Chicago,IL,60637.0,12000.0,,,,8914.0,,5.0,,,41.7665851,-87.6144094
,Single Family Residential,8630 S Bishop St,Chicago,IL,60620.0,170000.0,3.0,1.0,1305.0,,1922.0,5.0,130.0,,41.7366836,-87.6597506
,Multi-Family (2-4 Unit),2628 W 25th St,Chicago,IL,60623.0,199045.0,4.0,2.0,,2025.0,1885.0,5.0,,,41.8467125,-87.6915936
,Single Family Residential,7305 W Touhy Ave,Chicago,IL,60631.0,574500.0,4.0,2.5,2152.0,4673.0,1950.0,5.0,267.0,,42.0115064,-87.8094256
,Condo/Co-op,7630 S Essex Ave Unit 1S,Chicago,IL,60649.0,109900.0,3.0,2.0,,,1919.0,5.0,,300.0,41.7562965,-87.5642423
,Multi-Family (2-4 Unit),7234 S University Ave,Chicago,IL,60619.0,320000.0,7.0,2.0,,3125.0,1900.0,5.0,,,41.7631077,-87.5973249
,Single Family Residential,915 N Menard Ave,Chicago,IL,60651.0,349900.0,4.0,1.5,1232.0,4251.0,,5.0,284.0,,41.8971288,-87.7701057
,Single Family Residential,9047 S Crandon Ave,Chicago,IL,60617.0,304900.0,4.0,2.0,1907.0,3750.0,1956.0,5.0,160.0,,41.7303233,-87.5679527
,Single Family Residential,10335 S Artesian Ave,Chicago,IL,60655.0,525000.0,4.0,3.0,2469.0,5000.0,1952.0,5.0,213.0,,41.7053158,-87.6826742
,Single Family Residential,4743 W Fulton St,Chicago,IL,60644.0,135000.0,3.0,1.0,861.0,2500.0,1890.0,5.0,157.0,,41.8851954,-87.7447464
,Multi-Family (2-4 Unit),4716 N Winthrop Ave,Chicago,IL,60640.0,650000.0,8.0,3.0,,4686.0,1906.0,5.0,,,41.9677534,-87.6580167
,Multi-Family (2-4 Unit),3028 N Christiana Ave,Chicago,IL,60618.0,715000.0,6.0,3.5,,,1905.0,5.0,,,41.9365371,-87.7114695
,Condo/Co-op,1000 N Damen Ave #2,Chicago,IL,60622.0,675000.0,3.0,2.0,2000.0,,2015.0,5.0,338.0,390.0,41.899691,-87.6774911
,Vacant Land,4718 N Winthrop Ave,Chicago,IL,60640.0,550000.0,,,,4653.0,,5.0,,,41.967867,-87.658007
,Single Family Residential,3667 W Belle Plaine Ave,Chicago,IL,60618.0,333000.0,3.0,1.5,1452.0,5662.0,1910.0,5.0,229.0,,41.9553786,-87.7203979
,Single Family Residential,2132 W 73rd St,Chicago,IL,60636.0,239900.0,4.0,2.0,1500.0,3123.0,1948.0,5.0,160.0,,41.761385,-87.677141
,Single Family Residential,6160 S Ada St,Chicago,IL,60636.0,79900.0,2.0,1.0,1035.0,4660.0,1967.0,5.0,77.0,,41.7814204,-87.6585176
,Single Family Residential,7025 S Parnell Ave,Chicago,IL,60621.0,80000.0,4.0,2.0,1988.0,4375.0,1890.0,5.0,40.0,,41.7663598,-87.6381292
,Single Family Residential,7946 S Yale Ave,Chicago,IL,60620.0,145000.0,4.0,3.0,1122.0,,1922.0,5.0,129.0,,41.7494725,-87.6309153
,Multi-Family (2-4 Unit),5219 W School St,Chicago,IL,60641.0,435000.0,6.0,2.0,,3750.0,1928.0,5.0,,,41.9402892,-87.7575894
,Condo/Co-op,440 N Mcclurg Ct #1206,Chicago,IL,60611.0,299900.0,1.0,1.0,750.0,,1991.0,5.0,400.0,588.0,41.8903035,-87.6182523
,Condo/Co-op,4655 N Cumberland Ave #503,Norridge,IL,60706.0,304900.0,2.0,2.0,1365.0,,1999.0,5.0,223.0,263.0,41.9640452,-87.8357036
,Condo/Co-op,2120 W Division St #1,Chicago,IL,60622.0,599900.0,3.0,2.0,,,2005.0,5.0,,250.0,41.9033798,-87.6806024
,Condo/Co-op,2106 N Laramie Ave #1,Chicago,IL,60639.0,374900.0,3.0,2.0,1500.0,,2023.0,5.0,250.0,174.0,41.9188489,-87.7563466
,Single Family Residential,6105 S Natoma Ave,Chicago,IL,60638.0,358900.0,4.0,2.0,1521.0,,1958.0,5.0,236.0,,41.7810616,-87.7872088
,Condo/Co-op,3105 W Lawrence Ave #3,Chicago,IL,60625.0,185000.0,1.0,1.0,600.0,,1924.0,5.0,308.0,243.0,41.9682994,-87.7062482
,Townhouse,409 E North Water St #15,Chicago,IL,60611.0,1950000.0,4.0,4.5,3766.0,,2006.0,5.0,518.0,2220.0,41.8893105,-87.6171451
,Condo/Co-op,500 S Clinton St #742,Chicago,IL,60607.0,259000.0,2.0,1.5,1150.0,,,5.0,225.0,620.0,41.8750801,-87.6415754
,Condo/Co-op,4537 N Clark St Unit 2B,Chicago,IL,60640.0,875000.0,3.0,2.0,2100.0,,2023.0,5.0,417.0,,41.9646379,-87.6664858
,Condo/Co-op,1901 S Calumet Ave #806,Chicago,IL,60616.0,435000.0,2.0,2.0,1245.0,,2007.0,5.0,349.0,819.0,41.8562269,-87.6185993
,Multi-Family (2-4 Unit),4137 W Cornelia Ave,Chicago,IL,60641.0,549999.0,8.0,4.0,,3136.0,1912.0,5.0,,,41.9445472,-87.7306822
,Single Family Residential,2524 N Mango Ave,Chicago,IL,60639.0,299900.0,3.0,1.5,1596.0,3720.0,1932.0,5.0,188.0,,41.9265388,-87.7700327
,Condo/Co-op,842 N Campbell Ave Unit 1N,Chicago,IL,60622.0,665000.0,3.0,2.5,,,2017.0,5.0,,220.0,41.8970084,-87.6896031
,Single Family Residential,6448 S Bell Ave,Chicago,IL,60636.0,189900.0,5.0,2.0,833.0,4125.0,1917.0,5.0,228.0,,41.7760401,-87.680012
,Condo/Co-op,924 N Wolcott Ave #2,Chicago,IL,60622.0,374900.0,2.0,2.0,,,,5.0,,142.0,41.8985791,-87.6750045
,Condo/Co-op,1550 S Blue Island Ave #1006,Chicago,IL,60608.0,250000.0,2.0,1.0,,,1928.0,5.0,,712.0,41.8606011,-87.6597314
,Condo/Co-op,303 W Ohio St #2505,Chicago,IL,60610.0,365000.0,2.0,2.0,930.0,,2009.0,5.0,392.0,656.0,41.8922871,-87.6358483
,Condo/Co-op,4757 N Keeler Ave #101,Chicago,IL,60630.0,159000.0,2.0,1.0,1050.0,,1959.0,5.0,151.0,233.0,41.9679805,-87.7327567
,Condo/Co-op,200 N Jefferson St #804,Chicago,IL,60661.0,325000.0,1.0,1.0,900.0,,2006.0,5.0,361.0,680.0,41.8860724,-87.6431586
,Condo/Co-op,11012 Kilpatrick Ave Unit 1NE,Oak Lawn,IL,60453.0,129900.0,2.0,1.0,950.0,,1972.0,5.0,137.0,212.0,41.6921755,-87.7376531
,Single Family Residential,8156 S Kenwood Ave,Chicago,IL,60619.0,369000.0,6.0,4.0,3500.0,3125.0,1920.0,5.0,105.0,,41.7461033,-87.5919759
,Vacant Land,8314 S Stewart Ave,Chicago,IL,60620.0,250000.0,,,,,,5.0,,,41.743349,-87.6344975
,Single Family Residential,3636 S Artesian Ave,Chicago,IL,60632.0,640000.0,5.0,3.5,3100.0,2919.0,2020.0,5.0,206.0,,41.8272148,-87.6864839
,Multi-Family (2-4 Unit),2201 W Monroe St,Chicago,IL,60612.0,549900.0,4.0,2.0,,1306.0,1875.0,5.0,,,41.879725,-87.6816604
,Condo/Co-op,3103 W Rosemont Ave Unit 1W,Chicago,IL,60659.0,220000.0,2.0,1.0,1039.0,,1955.0,5.0,212.0,,41.995468,-87.7071991
,Condo/Co-op,6230 N Francisco Ave #1,Chicago,IL,60659.0,329000.0,3.0,2.0,1800.0,3750.0,1929.0,5.0,183.0,,41.9948895,-87.7023227
,Multi-Family (2-4 Unit),331 N Central Park Ave,Chicago,IL,60624.0,179900.0,9.0,3.0,,6400.0,1875.0,5.0,,,41.8872594,-87.7158185
,Single Family Residential,1710 W 107th St,Chicago,IL,60643.0,399000.0,5.0,3.0,2579.0,4416.0,1928.0,5.0,155.0,,41.6995742,-87.6649699
,Condo/Co-op,5203 N Kenmore Ave Unit 3N,Chicago,IL,60640.0,350000.0,2.0,2.0,1600.0,,1911.0,5.0,219.0,399.0,41.9765515,-87.6561895
,Multi-Family (2-4 Unit),2449 W Leland Ave,Chicago,IL,60625.0,650000.0,5.0,2.0,,3750.0,,5.0,,,41.9665596,-87.6907557
,Multi-Family (2-4 Unit),4905 N Marmora Ave,Chicago,IL,60630.0,500000.0,4.0,2.5,,3750.0,1953.0,5.0,,,41.9704889,-87.7755851
,Vacant Land,5544 S Pulaski Rd,Chicago,IL,60629.0,81900.0,,,,2613.0,,5.0,,,41.791831,-87.723512
,Single Family Residential,5157 W 64th St,Chicago,IL,60638.0,299900.0,3.0,2.0,939.0,5009.0,1946.0,5.0,319.0,,41.7758581,-87.7513944
,Multi-Family (2-4 Unit),1312 N Claremont Ave,Chicago,IL,60622.0,1250000.0,8.0,7.0,,3125.0,,5.0,,,41.9053003,-87.686147
,Multi-Family (2-4 Unit),8517 W Foster Ave,Chicago,IL,60656.0,738995.0,7.0,3.0,,,1963.0,5.0,,,41.9736354,-87.8391275
,Multi-Family (2-4 Unit),7918 S Eberhart Ave,Chicago,IL,60619.0,249900.0,6.0,3.0,,3484.0,1926.0,5.0,,,41.7505486,-87.6128098
,Condo/Co-op,6511 N Oakley Ave #2,Chicago,IL,60645.0,199900.0,2.0,2.0,1100.0,,1928.0,5.0,182.0,218.0,41.999982,-87.687321
,Townhouse,1720 N Lasalle St #22,Chicago,IL,60614.0,999000.0,4.0,3.5,3000.0,,1988.0,5.0,333.0,1430.0,41.9134722,-87.6335059
,Single Family Residential,2121 W Leland Ave,Chicago,IL,60625.0,900000.0,5.0,3.0,3700.0,4688.0,1888.0,5.0,243.0,,41.9666709,-87.681646
,Multi-Family (2-4 Unit),7232 S University Ave,Chicago,IL,60619.0,99000.0,5.0,2.0,,3049.0,1900.0,5.0,,,41.7631854,-87.5973249
,Multi-Family (2-4 Unit),2253 W Belmont Ave,Chicago,IL,60618.0,875000.0,7.0,3.0,,3049.0,1898.0,5.0,,,41.9393059,-87.6852901
,Condo/Co-op,510 W Erie St #2402,Chicago,IL,60654.0,1500000.0,3.0,3.5,2500.0,,2002.0,5.0,600.0,2727.0,41.8941492,-87.6418658
,Condo/Co-op,400 E Randolph St #3230,Chicago,IL,60601.0,615000.0,2.0,2.0,1250.0,,1963.0,5.0,492.0,1090.0,41.885003,-87.6168638
,Vacant Land,2837 N Ridgeway Ave,Chicago,IL,60618.0,350000.0,,,,3125.0,,5.0,,,41.9330101,-87.7206192
,Single Family Residential,4854 S Latrobe Ave,Chicago,IL,60638.0,285000.0,3.0,1.5,1073.0,,1959.0,5.0,266.0,,41.804114,-87.754419
,Condo/Co-op,1111 S Wabash Ave #2506,Chicago,IL,60605.0,324800.0,1.0,1.5,1000.0,,2005.0,5.0,325.0,727.0,41.8687405,-87.6253626
,Condo/Co-op,130 N Garland Ct #1804,Chicago,IL,60602.0,360000.0,1.0,1.5,1036.0,,2002.0,5.0,347.0,546.0,41.8841055,-87.625965
,Single Family Residential,10406 S Calumet Ave,Chicago,IL,60628.0,220000.0,3.0,2.0,1192.0,3750.0,1948.0,5.0,185.0,,41.7051725,-87.6151894
,Single Family Residential,4432 N Avers Ave,Chicago,IL,60625.0,549000.0,3.0,2.0,2239.0,6534.0,1857.0,5.0,245.0,,41.9619556,-87.7244762
,Condo/Co-op,6972 W Belmont Ave #7,Chicago,IL,60634.0,134999.0,1.0,1.0,750.0,,1962.0,5.0,180.0,207.0,41.9383012,-87.8010389
,Multi-Family (2-4 Unit),11838 S Wentworth Ave,Chicago,IL,60628.0,339900.0,8.0,3.0,,,1915.0,5.0,,,41.6786776,-87.6277521
,Condo/Co-op,510 W Erie St #1002,Chicago,IL,60654.0,475000.0,2.0,2.0,1225.0,,2002.0,5.0,388.0,1040.0,41.8941492,-87.6418658
,Single Family Residential,4519 N Western Ave,Chicago,IL,60625.0,568000.0,3.0,2.5,1817.0,2648.0,1891.0,5.0,313.0,,41.9637718,-87.6884896
,Condo/Co-op,5235 N Ravenswood Ave #29,Chicago,IL,60640.0,375000.0,2.0,1.0,,,1895.0,5.0,,540.0,41.9774439,-87.6742326
,Condo/Co-op,3750 N Lake Shore Dr Unit 4D,Chicago,IL,60613.0,550000.0,2.0,2.5,2200.0,,1926.0,5.0,250.0,2563.0,41.9519345,-87.6453299
,Single Family Residential,1252 N State Pkwy,Chicago,IL,60610.0,2150000.0,5.0,6.0,5000.0,2949.0,1872.0,5.0,430.0,,41.9054937,-87.6290769
,Parking,405 N Wabash Ave Unit B-24,Chicago,IL,60611.0,40000.0,,,,186.0,1972.0,5.0,,152.0,41.8897222,-87.6257722
,Single Family Residential,2911 S Union Ave,Chicago,IL,60616.0,489999.0,2.0,3.0,1302.0,10890.0,,5.0,376.0,,41.8413435,-87.6436678
,Condo/Co-op,525 W Hawthorne Pl #203,Chicago,IL,60657.0,310000.0,2.0,2.0,1300.0,,1969.0,5.0,238.0,822.0,41.9442213,-87.642196
,Condo/Co-op,2418 N Linden Pl Unit 1E,Chicago,IL,60647.0,750000.0,3.0,2.5,,,2023.0,5.0,,216.0,41.9255454,-87.7031752
,Single Family Residential,9256 S Loomis St,Chicago,IL,60620.0,99900.0,4.0,3.5,1650.0,,1928.0,5.0,61.0,,41.725101,-87.6581214
,Condo/Co-op,2418 N Linden Pl Unit 3E,Chicago,IL,60647.0,675000.0,3.0,2.0,,,2023.0,5.0,,189.0,41.9255454,-87.7031752
,Condo/Co-op,1550 N Lake Shore Dr Unit 5F,Chicago,IL,60610.0,275000.0,1.0,1.0,800.0,,1960.0,5.0,344.0,773.0,41.9108985,-87.6267754
,Condo/Co-op,2418 N Linden Pl Unit 2E,Chicago,IL,60647.0,575000.0,3.0,2.0,,,2023.0,5.0,,135.0,41.9255454,-87.7031752
,Single Family Residential,4045 N Kilbourn Ave,Chicago,IL,60641.0,299900.0,3.0,1.0,956.0,3125.0,1965.0,5.0,314.0,,41.9548561,-87.7403383
,Single Family Residential,934 S Austin Blvd,Oak Park,IL,60304.0,349900.0,3.0,1.0,1056.0,,1914.0,5.0,331.0,,41.8679749,-87.7745077
